Zeit [s]	Temperatur [°C]	Kraft [N]
		
239,3400114	55,25948494	0,011772024
239,3500114	55,25948494	0,011772024
239,3600114	55,25948494	2,35139E-08
239,3700114	55,25948494	2,35139E-08
239,3800114	55,25948494	2,35139E-08
239,3900114	55,25948494	0,011772024
239,4000114	55,25948494	0,011772024
239,4100114	55,25948494	2,35139E-08
239,4200114	55,25948494	2,35139E-08
239,4300114	55,25948494	2,35139E-08
239,4400114	55,25948494	2,35139E-08
239,4500114	55,25948494	0,011772024
239,4600114	55,25948494	0,011772024
239,4700114	55,25948494	2,35139E-08
239,4800114	55,25948494	2,35139E-08
239,4900114	55,25948494	2,35139E-08
239,5000114	55,25948494	2,35139E-08
239,5100114	55,25948494	0,011772024
239,5200114	55,25948494	0,011772024
239,5300114	55,25948494	2,35139E-08
239,5400114	55,25948494	2,35139E-08
239,5500114	55,25948494	2,35139E-08
239,5600114	55,25948494	2,35139E-08
239,5700114	55,25948494	2,35139E-08
239,5800114	55,25948494	2,35139E-08
239,5900114	55,25948494	2,35139E-08
239,6000114	55,25948494	2,35139E-08
239,6100114	55,25948494	2,35139E-08
239,6200114	55,25948494	2,35139E-08
239,6300114	55,25948494	2,35139E-08
239,6400114	55,25948494	2,35139E-08
239,6500114	55,25948494	2,35139E-08
239,6600114	55,25948494	0,011772024
239,6700114	55,25948494	2,35139E-08
239,6800114	55,25948494	2,35139E-08
239,6900114	55,25948494	2,35139E-08
239,7000114	55,25948494	2,35139E-08
239,7100114	55,25948494	0,011772024
239,7200114	55,25948494	2,35139E-08
239,7300114	55,25948494	2,35139E-08
239,7400114	55,25948494	2,35139E-08
239,7500114	55,25948494	2,35139E-08
239,7600114	55,25948494	2,35139E-08
239,7700114	55,25948494	2,35139E-08
239,7800114	55,25948494	2,35139E-08
239,7900114	55,25948494	2,35139E-08
239,8000114	55,25948494	0,011772024
239,8100114	55,25948494	2,35139E-08
239,8200114	55,25948494	2,35139E-08
239,8300114	55,25948494	2,35139E-08
239,8400114	55,25948494	2,35139E-08
239,8500114	55,25948494	0,011772024
239,8600114	55,25948494	0,011772024
239,8700114	55,25948494	0,011772024
239,8800114	55,25948494	2,35139E-08
239,8900114	55,25948494	2,35139E-08
239,9000114	55,25948494	0,011772024
239,9100114	55,25948494	0,011772024
239,9200114	55,30111856	2,35139E-08
239,9300114	55,30111856	2,35139E-08
239,9400114	55,30111856	-0,011771976
239,9500114	55,30111856	2,35139E-08
239,9600114	55,30111856	0,011772024
239,9700114	55,30111856	0,011772024
239,9800114	55,30111856	0,011772024
239,9900114	55,30111856	2,35139E-08
240,0000114	55,30111856	2,35139E-08
240,0100114	55,30111856	2,35139E-08
240,0200114	55,30111856	2,35139E-08
240,0300114	55,30111856	2,35139E-08
240,0400114	55,30111856	2,35139E-08
240,0500114	55,30111856	2,35139E-08
240,0600114	55,30111856	2,35139E-08
240,0700114	55,30111856	2,35139E-08
240,0800114	55,30111856	2,35139E-08
240,0900114	55,30111856	2,35139E-08
240,1000114	55,30111856	2,35139E-08
240,1100114	55,30111856	2,35139E-08
240,1200114	55,30111856	2,35139E-08
240,1300114	55,30111856	2,35139E-08
240,1400114	55,30111856	2,35139E-08
240,1500114	55,30111856	2,35139E-08
240,1600114	55,30111856	0,011772024
240,1700114	55,30111856	2,35139E-08
240,1800114	55,30111856	2,35139E-08
240,1900114	55,30111856	2,35139E-08
240,2000114	55,30111856	2,35139E-08
240,2100114	55,30111856	2,35139E-08
240,2200114	55,30111856	2,35139E-08
240,2300114	55,30111856	2,35139E-08
240,2400114	55,30111856	0,011772024
240,2500114	55,30111856	0,011772024
240,2600114	55,30111856	2,35139E-08
240,2700114	55,30111856	2,35139E-08
240,2800114	55,30111856	2,35139E-08
240,2900114	55,30111856	0,011772024
240,3000114	55,30111856	0,011772024
240,3100114	55,30111856	0,011772024
240,3200114	55,30111856	0,070632024
240,3300114	55,30111856	0,235440024
240,3400114	55,30111856	0,459108024
240,3500114	55,30111856	0,388476024
240,3600114	55,30111856	0,164808024
240,3700114	55,30111856	0,058860024
240,3800114	55,30111856	0,023544024
240,3900114	55,30111856	0,023544024
240,4000114	55,30111856	0,011772024
240,4100114	55,30111856	0,011772024
240,4200114	55,30111856	0,011772024
240,4300114	55,30111856	0,011772024
240,4400114	55,30111856	0,011772024
240,4500114	55,30111856	0,011772024
240,4600114	55,30111856	0,011772024
240,4700114	55,30111856	0,011772024
240,4800114	55,30111856	0,011772024
240,4900114	55,30111856	0,011772024
240,5000114	55,30111856	0,011772024
240,5100114	55,30111856	0,011772024
240,5200114	55,30111856	0,011772024
240,5300114	55,30111856	0,011772024
240,5400114	55,30111856	0,011772024
240,5500114	55,30111856	0,011772024
240,5600114	55,30111856	0,011772024
240,5700114	55,30111856	0,011772024
240,5800114	55,30111856	0,011772024
240,5900114	55,30111856	0,011772024
240,6000114	55,30111856	0,011772024
240,6100114	55,30111856	0,011772024
240,6200114	55,30111856	0,011772024
240,6300114	55,30111856	0,011772024
240,6400114	55,30111856	0,011772024
240,6500114	55,30111856	2,35139E-08
240,6600114	55,30111856	0,011772024
240,6700114	55,30111856	0,011772024
240,6800114	55,25948494	0,011772024
240,6900114	55,25948494	2,35139E-08
240,7000114	55,25948494	2,35139E-08
240,7100114	55,25948494	0,011772024
240,7200114	55,25948494	0,011772024
240,7300114	55,25948494	2,35139E-08
240,7400114	55,25948494	2,35139E-08
240,7500114	55,25948494	0,011772024
240,7600114	55,25948494	2,35139E-08
240,7700114	55,25948494	2,35139E-08
240,7800114	55,25948494	2,35139E-08
240,7900114	55,25948494	0,011772024
240,8000114	55,25948494	2,35139E-08
240,8100114	55,25948494	2,35139E-08
240,8200114	55,25948494	2,35139E-08
240,8300114	55,25948494	0,011772024
240,8400114	55,25948494	0,011772024
240,8500114	55,25948494	0,011772024
240,8600114	55,25948494	2,35139E-08
240,8700114	55,25948494	2,35139E-08
240,8800114	55,25948494	2,35139E-08
240,8900114	55,25948494	0,011772024
240,9000114	55,25948494	0,011772024
240,9100114	55,25948494	2,35139E-08
240,9200114	55,25948494	2,35139E-08
240,9300114	55,25948494	2,35139E-08
240,9400114	55,25948494	2,35139E-08
240,9500114	55,21785186	0,011772024
240,9600114	55,25948494	0,011772024
240,9700114	55,25948494	2,35139E-08
240,9800114	55,25948494	2,35139E-08
240,9900114	55,25948494	2,35139E-08
241,0000114	55,25948494	0,011772024
241,0100114	55,21785186	0,011772024
241,0200114	55,21785186	0,011772024
241,0300114	55,21785186	2,35139E-08
241,0400114	55,21785186	0,011772024
241,0500114	55,21785186	0,011772024
241,0600114	55,21785186	0,011772024
241,0700115	55,21785186	0,011772024
241,0800115	55,21785186	2,35139E-08
241,0900115	55,21785186	2,35139E-08
241,1000115	55,21785186	2,35139E-08
241,1100115	55,21785186	2,35139E-08
241,1200115	55,21785186	2,35139E-08
241,1300115	55,21785186	0,011772024
241,1400115	55,21785186	0,011772024
241,1500115	55,21785186	0,011772024
241,1600115	55,21785186	0,011772024
241,1700115	55,21785186	0,011772024
241,1800115	55,21785186	0,011772024
241,1900115	55,21785186	0,011772024
241,2000115	55,21785186	0,011772024
241,2100115	55,21785186	0,011772024
241,2200115	55,21785186	0,011772024
241,2300115	55,21785186	0,011772024
241,2400115	55,21785186	0,011772024
241,2500115	55,21785186	2,35139E-08
241,2600115	55,21785186	0,011772024
241,2700115	55,21785186	0,011772024
241,2800115	55,21785186	2,35139E-08
241,2900115	55,21785186	2,35139E-08
241,3000115	55,21785186	2,35139E-08
241,3100115	55,21785186	0,011772024
241,3200115	55,21785186	0,011772024
241,3300115	55,21785186	0,011772024
241,3400115	55,17621933	0,011772024
241,3500115	55,17621933	0,011772024
241,3600115	55,17621933	0,011772024
241,3700115	55,17621933	0,011772024
241,3800115	55,17621933	0,011772024
241,3900115	55,17621933	0,011772024
241,4000115	55,17621933	0,011772024
241,4100115	55,17621933	0,011772024
241,4200115	55,17621933	0,011772024
241,4300115	55,17621933	0,011772024
241,4400115	55,17621933	0,011772024
241,4500115	55,17621933	0,011772024
241,4600115	55,17621933	0,011772024
241,4700115	55,17621933	0,011772024
241,4800115	55,17621933	0,011772024
241,4900115	55,17621933	0,011772024
241,5000115	55,17621933	0,011772024
241,5100115	55,17621933	2,35139E-08
241,5200115	55,17621933	2,35139E-08
241,5300115	55,17621933	0,011772024
241,5400115	55,17621933	0,011772024
241,5500115	55,17621933	0,011772024
241,5600115	55,17621933	0,011772024
241,5700115	55,17621933	0,011772024
241,5800115	55,17621933	0,011772024
241,5900115	55,17621933	0,011772024
241,6000115	55,17621933	0,011772024
241,6100115	55,17621933	0,011772024
241,6200115	55,17621933	0,011772024
241,6300115	55,17621933	0,011772024
241,6400115	55,17621933	0,011772024
241,6500115	55,17621933	0,011772024
241,6600115	55,17621933	2,35139E-08
241,6700115	55,17621933	0,011772024
241,6800115	55,17621933	0,011772024
241,6900115	55,17621933	0,011772024
241,7000115	55,17621933	0,011772024
241,7100115	55,17621933	0,011772024
241,7200115	55,17621933	2,35139E-08
241,7300115	55,13458734	0,011772024
241,7400115	55,13458734	0,011772024
241,7500115	55,17621933	0,011772024
241,7600115	55,13458734	0,011772024
241,7700115	55,13458734	0,011772024
241,7800115	55,13458734	2,35139E-08
241,7900115	55,13458734	2,35139E-08
241,8000115	55,13458734	2,35139E-08
241,8100115	55,13458734	2,35139E-08
241,8200115	55,13458734	0,011772024
241,8300115	55,13458734	0,011772024
241,8400115	55,13458734	0,011772024
241,8500115	55,13458734	0,011772024
